ProductNumber,ProductArName,ProductEnName,BrandName,CounrtyEn,PackageVolume,UnitEn,manufactureenglishname,ListedNameEn
2019-0140114-161401,سكناي عدة اسنان,SUKNAI Dental Kit,SUKNAI Dental Kit,China,3,Gram (g),I HOTEL GUEST AMENITIES CO. LTD,Integral Hotel Supplies company Co. LTD
2019-0140114-161404,فيفندا عدة اسنان,VIVIENDA Dental Kit,VIVIENDA,China,3,Gram (g),I HOTEL GUEST AMENITIES CO. LTD,Integral Hotel Supplies company Co. LTD
2019-0140114-161410,فرشاة أسنان متعددة الوظائف نسيج متوسط,Beauty Formulas Multi Action Brush ,Beauty Formulas,United Kingdom,3,Piece,Drammock International Limlited,Hassan S. Al-Amoudi Trd. Est.
2019-0140114-161411,كلوز أب ايفير فريش,Close Up Ever Fresh ,CLOSE UP,Egypt,120,Milliliter (ml),AL WEFAQ GENERAL TRADING ,Desert & Sands Tradin
2019-0140114-161419,كلوز اب ديب اكشن,Close Up Deep Action,Close Up ,Egypt,120,Milliliter (ml),AL WEFAQ GENERAL TRADING ,Desert & Sands Tradin
2019-0140114-161423,سجنال معجون اسنان ,SIGNAL CAVITY FIGHTER,SIGNAL,Egypt,120,Milliliter (ml),AL WEFAQ GENERAL TRADING ,Desert & Sands Tradin
2016-0140124Code4-046456, ثري شينيز بروربوليس بخاخ العناية بالفم,3CHENES LABORATOIRES PROPOLIS ORAL CARE SPRAY,3CHENES LABORATOIRES,France,20,Milliliter (ml),Laboratoires Les 3 CHENES,Salehiya Trading Est
2016-0140114-046688,الجيديوم معجون اسنان جل بنكهة الموز,elgydium toothpaste gel with banana flavour,Elgydium,France,50,Milliliter (ml),Pierre Fabre Medicament Production,Bader Salem A.Bugshan and Bros
2018-0140114-110015,معجون أسنان كولجيت مستخلصات طبيعية للعناية باللثة,Colgate Toothpaste Natural Extracts Gum Care (with lotus flowers),Colgate,China,75,Milliliter (ml),Colgate Palmolive (China) Company Limited,General Trading Company
2019-0140114-161515,خيط متطور بنكهة النعناع مع الفلورايد لتنظيف مابين الأسننان,Beauty Formulas Mint Advanced Fluoride Dental Floss,Beauty Formulas,United Kingdom,1,Piece,Drammock International Limlited,Hassan S. Al-Amoudi Trd. Est.
2019-0140114-161516,خيط متطور لتنيف ما بين الأسنان بنكهة الفلوريد و النعناع 100 متر,Beauty Formulas Advanced Dental Floss Mint Waxed Fluoride 100m,Beauty Formulas,United Kingdom,1,Piece,Drammock International Limlited,Hassan S. Al-Amoudi Trd. Est.
2019-0140114-161517,خيط لتنيف ما بين الأسنان بنكهة النعناع 100 متر مغطاة بالشمع,Beauty Formulas Dental Floss Mint Waxed (100m),Beauty Formulas,United Kingdom,1,Piece,Drammock International Limlited,Hassan S. Al-Amoudi Trd. Est.
2019-0140114-161519,  خيط تنظيف الأسنان مشمع 200 متر,Beauty Formulas Dental Floss Mint Waxed (200M),Beauty Formulas,United Kingdom,1,Piece,Drammock International Limlited,Hassan S. Al-Amoudi Trd. Est.
2019-0140114-161522,خيطي لتنيف ما بين الأسنان 50 عود,Beauty Formulas Go-Between Dental Flossers,Beauty Formulas,United Kingdom,50,Piece,Drammock International Limlited,Hassan S. Al-Amoudi Trd. Est.
2019-0140114-161524,خيوط لتنيف ما بين الأسنان 50 عود,Beauty Formulas Interdental FLossers (50 Sticks),Beauty Formulas,United Kingdom,50,Piece,Drammock International Limlited,Hassan S. Al-Amoudi Trd. Est.
2019-0140114-161527,شريط أسنان متطور بنكهة النعناع مع الفلورياد 50 متر مغطاة بالشمع,Beauty Formulas Advanced Tape Mint Waxed Fluoride (50M),Beauty Formulas,United Kingdom,1,Piece,Drammock International Limlited,Hassan S. Al-Amoudi Trd. Est.
2017-0140124-071460,بان غالاكتيك غارغل بلاستر,Lush Pan Galactic Gargle Blaster Mouthwash,LUSH,United Kingdom,45,Gram (g),Lush Manufacturing Limited,alsaati medical grup
2017-0140114-071472,فافوري سينستيف بلس  معجون اسنان,Favori Sensitive Plus Tooth Paste,Favori ,Turkey,90,Gram (g),YASARLAR KOZMETIK MEDIKAL,color of life medical Est
2018-0140114-128077,بيو لايف دي معجون اسنان لمستخدمي تركيبات و تقويم الاسنان,BIO LIFE D EXCLUSIVE TOOTHPASTE FOR PEOPLE WEARING BRACES,BIO LIFE D,Poland,75,Milliliter (ml),BIOCEUTICS.POL SP. Z O. O.,Rawnaq AlSafaa Medical Est.
